Code,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone
P2MDJ,Mundijong Public Library,,,,,Paterson Street,MUNDIJONG,WA,6123,9526 1133
P5MGL,Munglinup Public Library,,,,,RMB 7195,ESPERANCE,WA,6450,9075 1174 (Home)
P2MUR,Murchison Public Library,Carnarvon-Mullewa Road,MURCHISON,WA,6630,PO Box 61,MULLEWA,WA,6630,9963 7999
P1MPL,Murray Public Library,Cnr Pinjarra Road & Forrest Street,PINJARRA,WA,6208,PO Box 21,PINJARRA,WA,6208,9531 7712
P2NAB,Nabawa Public Library,3270 Chapman Valley Road,NABAWA,WA,6532,PO Box 1,NABAWA,WA,6532,9920 5011
P1NAN,Nannup Public Library,Adam Street,NANNUP,WA,6275,PO Box 11,NANNUP,WA,6275,9756 1018
P5NBN,Narembeen Public Library,,,,,1 Longhurst Street,NAREMBEEN,WA,6369,9064 7308
P3NAR,Narrogin Regional Library,Fortune Street,NARROGIN,WA,6312,PO Box 188,NARROGIN,WA,6312,9881 1751
P3NED,Nedlands Public Library,60-64 Stirling Highway,NEDLANDS,WA,6009,PO Box 9,NEDLANDS,WA,6909,9273 3644
P3NDG,Newdegate Public Library,Collier St,NEWDEGATE,WA,6355,PO Box 142,NEWDEGATE,WA,6355,9871 1791
P4NEW,Newman Community Library,Kalgan Drive,NEWMAN,WA,6753,,,,,9175 2782
P5NOS,Norseman Public Library,88 - 92 Prinsep Street,NORSEMAN,WA,6443,PO Box 163,NORSEMAN,WA,6443,9039 1205
P4NOR,Northam Public Library,Fitzgerald Street,NORTHAM,WA,6401,PO BOX 613,NORTHAM,WA,6401,9621 1600
P2NOH,Northampton Public Library,199 Hampton Rd,NORTHAMPTON,WA,6535,PO BOX 61,NORTHAMPTON,WA,6535,9934 1202
P1NOT,Northcliffe Public Library,Muirillup Road,NORTHCLIFFE,WA,6262,Post Office,NORTHCLIFFE,WA,6262,9776 7168
P4NUL,Nullagine Public Library,,,,,C/- Nullagine Post Office,NULLAGINE,WA,6758,9176 2063
P5NUN,Nungarin Public Library,Railway Avenue,NUNGARIN,WA,6490,P.O. Box 8,NUNGARIN,WA,6490,9046 5006
P3NYA,Nyabing Public Library,24-26 Richmond Street,NYABING,WA,6341,PO Box 15,NYABING,WA,6341,9829 1051
P3ONG,Ongerup Public Library,,,,,Eldridge Street,ONGERUP,WA,6336,9828 2122
P2ONS,Onslow Public Library,Cnr Hooley & McGrath Avenue,ONSLOW,WA,6710,Post Office Box 20,ONSLOW,WA,6710,9184 6001
P1OSB,Osborne Park Public Library,,,,,9 Royal Street,TUART HILL,WA,6060,9205 7900
P2PAN,Pannawonica Public Library,Pannawonica Drive,PANNAWONICA,WA,6716,Box 263,PANNAWONICA,WA,6716,9134 9501
P2PBD,Paraburdoo Public Library,Ashburton,AVENUE,WA,6754,PO Box 92,PARABURDOO,WA,6754,9190 2222
P1PEM,Pemberton Public Library,,,,,Brockman Street,PEMBERTON,WA,6260,9776 1311
P2PNJ,Perenjori Public Library,Fowler Street,PERENJORI,WA,6620,P.O Box 22,Perenjori,WA,6620,9973 0100
P3PER,Perth City Public Library,"Level 1, 140 William Street (entry from Murray St)",PERTH,WA,6000,PO Box C120,PERTH,WA,6839,9461 3500
P3PGY,Pingelly Public Library,,,,,18 Parade Street,PINGELLY,WA,6308,9887 1409
P3PIN,Pingrup Public Library,Sanderson,PINGRUP,WA,6343,Sanderson,PINGRUP,WA,6343,9820 1101
P4PHD,Port Hedland Public Library,"Len Tapin Memorial Centre, Dempster Street",PORT HEDLAND WA,WA,6721,PO Box 2361,SOUTH HEDLAND WA,WA,6722,9158 9378
P4QUA,Quairading Public Library,"1 Jennaberring Rd, Post Office Building",QUAIRADING,WA,6383,"1 Jennaberring Rd, Post Office Building",QUAIRADING,WA,6383,9645 1133
